GroupId,GroupName,Type,IpProtocol,FromPort,ToPort,IpRanges,Ipv6Ranges,PrefixListIds,UserIdGroupPairs
sg-0f791adb96b22f1d8,SOC,Inbound/Ingress,tcp,80,80,0.0.0.0/0 (Allow HTTP),,,
sg-0f791adb96b22f1d8,SOC,Inbound/Ingress,tcp,1515,1515,10.0.2.0/28 (Wazuh Enrollment service),,,
sg-0f791adb96b22f1d8,SOC,Inbound/Ingress,tcp,1514,1514,10.0.2.0/28 (Wazuh Agent connection),,,
sg-0f791adb96b22f1d8,SOC,Inbound/Ingress,tcp,9001,9001,0.0.0.0/0 (Allow Cortex),,,
sg-0f791adb96b22f1d8,SOC,Inbound/Ingress,icmp,-1,-1,10.0.2.0/28 (Allow ping),,,
sg-0f791adb96b22f1d8,SOC,Inbound/Ingress,tcp,443,443,0.0.0.0/0 (Allow HTTPS),,,
sg-0f791adb96b22f1d8,SOC,Inbound/Ingress,tcp,55000,55000,10.0.2.0/28 (Wazuh server RESTful API),,,
sg-0f791adb96b22f1d8,SOC,Inbound/Ingress,udp,514,514,10.0.2.0/28 (Wazuh Syslog collector),,,
sg-0f791adb96b22f1d8,SOC,Inbound/Ingress,tcp,3443,3443,0.0.0.0/0 (Allow Shuffle.io access),,,
sg-0f791adb96b22f1d8,SOC,Inbound/Ingress,tcp,9000,9000,0.0.0.0/0 (Allow TheHive),,,
sg-0f791adb96b22f1d8,SOC,Inbound/Ingress,tcp,22,22,0.0.0.0/0 (Allow SSH),,,
sg-0f791adb96b22f1d8,SOC,Inbound/Ingress,tcp,9300,9400,10.0.2.0/28 (Wazuh indexer cluster communication),,,
sg-0f791adb96b22f1d8,SOC,Inbound/Ingress,tcp,9200,9200,10.0.2.0/28 (Wazuh indexer RESTful API),,,
sg-0f791adb96b22f1d8,SOC,Inbound/Ingress,tcp,1516,1516,10.0.2.0/28 (Wazuh Cluster daemon),,,
sg-0f791adb96b22f1d8,SOC,Outbound/Egress,'-1,,,0.0.0.0/0 (Allow all outbound),,,